region,start_date,end_date,combined_mwe,combined_mwe_errors,altimetry_mwe,altimetry_mwe_errors,gravimetry_mwe,gravimetry_mwe_errors
iceland,1999.75,2000.75,-1.104191100509928,0.8354095684981138,,,,
iceland,2000.75,2001.75,-0.7924822352665557,0.7493903757331217,,,,
iceland,2001.75,2002.75,-0.7127034854839307,0.7461969609013609,,,,
iceland,2002.75,2003.75,-1.025920334577463,0.5323347075066456,,,-0.8788405523390873,0.2299139893404483
iceland,2003.75,2004.75,-1.3424141643466276,0.5309170790669637,,,-1.3274535346070664,0.2315700706097527
iceland,2004.75,2005.75,-1.6246445070147908,0.5316745397768984,,,-1.9339367564819496,0.2293062198217892
iceland,2005.75,2006.75,-0.595763858652366,0.5306953775345609,,,-0.1975746314054617,0.2298512475548249
iceland,2006.75,2007.75,-0.9416990135551062,0.530537263247171,,,-1.0761544970706274,0.2294717549996046
iceland,2007.75,2008.75,-1.2803454818595144,0.5304111150445473,,,-1.5450843712867408,0.2285867790830872
iceland,2008.75,2009.75,-0.00900736286809,0.5307392527372099,,,0.4159400375700904,0.2320180435231727
iceland,2009.75,2010.75,-2.960128318213909,0.5308831940947659,,,-3.1487174832168985,0.2299009987224688
iceland,2010.75,2011.75,-0.9527001180860876,0.4438728078896855,-1.6571353713113095,0.3363204529296046,-0.8488005561292037,0.2433942230690759
iceland,2011.75,2012.75,-0.5575259602163403,0.4386861368078932,-1.146644929777915,0.2700321099377379,0.2696807418473531,0.2446062970975294
iceland,2012.75,2013.75,-0.2860631525334628,0.4322712288755808,0.1635264173809814,0.1708016807954823,-0.5864779548074797,0.2394370677694829
iceland,2013.75,2014.75,-0.4077599024570697,0.4333320213038583,-0.277160193062366,0.1863469064919017,-0.112223640867703,0.2423975090082327
iceland,2014.75,2015.75,0.9270093520133332,0.4356373041757976,1.2242355177115134,0.232510281938122,0.6926045089463175,0.2427698902693712
iceland,2015.75,2016.75,-1.0844741560778883,0.4404182495199212,-0.8242664329470147,0.2876873096497495,-1.4410160912573056,0.2597568126709859
iceland,2016.75,2017.75,-0.009678475482333,0.4295736999189707,0.2963426578950938,0.1927616377818722,-0.00369595381175,0.1672968274764286
iceland,2017.75,2018.75,-0.2404568033964863,0.4408575306825051,-0.5305856422122909,0.35448627839748,-0.2379111390351183,0.1672968274764286
iceland,2018.75,2019.75,-0.7863356747160808,0.4485199821027227,-0.6662724409466878,0.3786567452472079,-0.3158543524102326,0.2662504024896452
iceland,2019.75,2020.75,-0.8693199164374645,0.5362380397532318,,,-1.3173986209711293,0.2664642374974802
iceland,2020.75,2021.75,-1.6681330095421874,0.5365605897134665,,,-2.012613591185107,0.2674144765578555
iceland,2021.75,2022.75,0.5719746914557715,0.5818153037307541,,,1.282709066502976,0.4892693387063805
iceland,2022.75,2023.75,-1.1673495631199495,0.8408900888639714,,,,
