rgi_id,CenLat,CenLon,year,t2m_abl_mean,t2m_abl_std,t2m_acc_mean,t2m_acc_std,tp_abl_sum,tp_acc_sum,ssrd_abl_sum,ssrd_acc_sum,Aspect,Zmax,GLIMSId,Zmed,Slope,Zmin,Area
RGI60-06.00001,64.8174,-23.7852,1966,280.6261,2.1022253,272.4013,2.8205585,0.013650894,0.021690369,7.4722e+07,2.8278336e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1967,280.74472,2.0412724,272.4938,2.3204324,0.0108242035,0.023139,7.976859e+07,2.6539992e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1968,281.01587,2.0140867,272.61176,1.5433128,0.010923386,0.025515556,7.4724536e+07,2.7384812e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1969,280.75473,1.9764001,273.24225,2.3679655,0.017879486,0.020915031,6.9499624e+07,2.7483796e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1970,280.64374,1.2520341,272.98373,2.0805693,0.0134887695,0.02100277,7.125874e+07,2.5762066e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1971,281.02576,1.4417849,273.63712,1.9086412,0.010139465,0.02489376,7.492352e+07,2.4201262e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1972,281.2365,0.83200336,274.78067,1.2241783,0.016723633,0.028774261,6.747062e+07,2.4657806e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1973,280.5397,1.8379952,274.4694,1.9636718,0.013198853,0.028240204,7.300141e+07,2.32353e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1974,281.2845,1.79674,274.30222,3.0910623,0.010942459,0.032961845,7.668693e+07,2.1106518e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1975,280.09186,1.9475529,273.81708,2.6696534,0.014511108,0.023614883,7.07967e+07,2.525033e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1976,281.27127,1.9977388,273.83527,2.247266,0.017910004,0.03263569,6.647628e+07,2.5156856e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1977,281.31366,1.4686736,274.46307,2.2581685,0.016002655,0.01700306,6.523038e+07,2.6784344e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1978,281.1645,1.9050096,274.20544,2.1401088,0.011949539,0.020809174,6.996051e+07,2.7454464e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1979,279.72238,2.8111029,273.3776,2.493172,0.012481689,0.01974678,7.4251784e+07,2.7070452e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1980,282.10913,1.5277302,274.93475,1.5129707,0.008878708,0.02720356,7.520687e+07,2.5515294e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1981,281.0527,1.821841,273.36713,2.2838874,0.011966705,0.024454117,7.209973e+07,2.7698124e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1982,280.69366,2.3070025,273.87262,1.4724154,0.0129470825,0.023291588,7.067528e+07,2.627067e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1983,280.29987,1.2283251,273.54764,2.2238684,0.013341904,0.026395798,6.237541e+07,2.7116788e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1984,281.27008,1.7943149,274.2537,1.7700111,0.016819,0.029482841,5.832867e+07,2.5782068e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1985,281.4546,1.4535908,274.99063,1.3670557,0.008295059,0.023140907,7.491046e+07,2.5730142e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1986,280.91388,1.7866259,275.03342,2.244865,0.010940552,0.02677536,7.29664e+07,2.643082e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1987,281.97003,1.711153,274.92682,1.5396228,0.009235382,0.024414062,7.162416e+07,2.605244e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1988,281.3665,1.5018196,274.14926,2.3541188,0.013723373,0.020778656,7.022296e+07,2.8450302e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1989,280.74426,1.8971461,274.03534,2.539323,0.01681137,0.028939247,6.5933316e+07,3.0803e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1990,281.9416,1.8051466,273.8735,2.2762966,0.014175415,0.022514343,7.025084e+07,2.8912414e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1991,282.20905,2.1411145,275.26923,1.4311252,0.011144638,0.028630257,7.416783e+07,2.5964542e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1992,280.76495,1.6484045,274.61453,1.634314,0.014558792,0.0339756,6.999361e+07,2.7704964e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1993,281.05557,1.59048,274.2694,2.135796,0.01181221,0.026744843,7.248508e+07,2.62065e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1994,281.63333,1.7579998,274.26498,2.2675843,0.009777069,0.026115417,7.518127e+07,2.9154366e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1995,281.77496,1.7654831,273.30606,1.979288,0.0122509,0.021871567,6.969318e+07,2.9921764e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1996,282.76303,1.2626207,275.34528,1.4982532,0.015569687,0.023223877,7.148911e+07,2.5385164e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1997,281.86646,2.0341628,274.4012,2.028373,0.012189865,0.022922516,6.9746504e+07,2.6146362e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1998,282.23502,1.5433471,275.4682,2.4165635,0.011650085,0.023788452,7.3821576e+07,2.585042e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,1999,282.22818,1.6499951,274.3986,1.9629669,0.016088486,0.022023201,6.678445e+07,3.0569832e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2000,282.32367,1.6732002,274.9774,1.9634843,0.012954712,0.028164864,7.20484e+07,2.856017e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2001,282.42807,1.5245252,274.99347,2.023412,0.0136089325,0.017684937,7.445773e+07,2.856157e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2002,282.4057,1.492671,275.1567,2.8856192,0.014186859,0.023822784,7.1720616e+07,2.7030852e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2003,283.2143,2.0729325,277.5779,1.3937229,0.014606476,0.028614044,7.3791496e+07,2.380369e+07,336,1419,G336215E64817N,922,15.0,630,4.903
RGI60-06.00001,64.8174,-23.7852,2004,283.16824,1.9249399,276.309,1.9510506,0.015464783,0.028046608,7.574808e+07,2.3584036e+07,336,1419,G336215E64817N,922,15.0,630,4.903
