rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor
RGI60-06.00022,2000-01-01_2010-01-01,230000.0,0.6886,0.4552,6,False
RGI60-06.00022,2000-01-01_2020-01-01,230000.0,0.2198,0.2329,6,False
RGI60-06.00022,2010-01-01_2020-01-01,230000.0,-0.249,0.4081,6,False
RGI60-06.00023,2000-01-01_2010-01-01,86000.0,0.2419,0.5662,6,False
RGI60-06.00023,2000-01-01_2020-01-01,86000.0,0.0113,0.2909,6,False
RGI60-06.00023,2010-01-01_2020-01-01,86000.0,-0.2194,0.5417,6,False
RGI60-06.00024,2000-01-01_2010-01-01,113000.0,-0.4914,0.4455,6,False
RGI60-06.00024,2000-01-01_2020-01-01,113000.0,-0.0423,0.2299,6,False
RGI60-06.00024,2010-01-01_2020-01-01,113000.0,0.4067,0.4403,6,False
RGI60-06.00025,2000-01-01_2010-01-01,6608000.0,-0.0027,0.2475,6,False
RGI60-06.00025,2000-01-01_2020-01-01,6608000.0,-0.3491,0.1359,6,False
RGI60-06.00025,2010-01-01_2020-01-01,6608000.0,-0.6955,0.2672,6,False
RGI60-06.00026,2000-01-01_2010-01-01,4776000.0,-0.4736,0.2554,6,False
RGI60-06.00026,2000-01-01_2020-01-01,4776000.0,-0.2731,0.1336,6,False
RGI60-06.00026,2010-01-01_2020-01-01,4776000.0,-0.0726,0.2693,6,False
RGI60-06.00027,2000-01-01_2010-01-01,5093000.0,-0.2177,0.2463,6,False
RGI60-06.00027,2000-01-01_2020-01-01,5093000.0,-0.2134,0.1281,6,False
RGI60-06.00027,2010-01-01_2020-01-01,5093000.0,-0.209,0.2499,6,False
RGI60-06.00028,2000-01-01_2010-01-01,896000.0,-0.2361,0.2872,6,False
RGI60-06.00028,2000-01-01_2020-01-01,896000.0,-0.3093,0.15,6,False
RGI60-06.00028,2010-01-01_2020-01-01,896000.0,-0.3825,0.2885,6,False
RGI60-06.00029,2000-01-01_2010-01-01,862000.0,0.2411,0.3005,6,False
RGI60-06.00029,2000-01-01_2020-01-01,862000.0,-0.2198,0.1475,6,False
RGI60-06.00029,2010-01-01_2020-01-01,862000.0,-0.6808,0.2981,6,False
RGI60-06.00030,2000-01-01_2010-01-01,62000.0,0.0466,0.3837,6,False
RGI60-06.00030,2000-01-01_2020-01-01,62000.0,0.099,0.2247,6,False
RGI60-06.00030,2010-01-01_2020-01-01,62000.0,0.1514,0.4276,6,False
RGI60-06.00031,2000-01-01_2010-01-01,364000.0,-0.3546,0.3317,6,False
RGI60-06.00031,2000-01-01_2020-01-01,364000.0,-0.3642,0.1821,6,False
RGI60-06.00031,2010-01-01_2020-01-01,364000.0,-0.3738,0.3358,6,False
RGI60-06.00032,2000-01-01_2010-01-01,146000.0,-0.242,0.4103,6,False
RGI60-06.00032,2000-01-01_2020-01-01,146000.0,-0.3046,0.2398,6,False
RGI60-06.00032,2010-01-01_2020-01-01,146000.0,-0.3673,0.4491,6,False
RGI60-06.00033,2000-01-01_2010-01-01,277000.0,0.0123,0.4267,6,False
RGI60-06.00033,2000-01-01_2020-01-01,277000.0,-0.0883,0.2078,6,False
RGI60-06.00033,2010-01-01_2020-01-01,277000.0,-0.189,0.3859,6,False
RGI60-06.00034,2000-01-01_2010-01-01,279000.0,0.3173,0.3573,6,False
RGI60-06.00034,2000-01-01_2020-01-01,279000.0,-0.0505,0.1799,6,False
RGI60-06.00034,2010-01-01_2020-01-01,279000.0,-0.4183,0.3449,6,False
RGI60-06.00035,2000-01-01_2010-01-01,167000.0,1.0198,0.5062,6,False
RGI60-06.00035,2000-01-01_2020-01-01,167000.0,0.1417,0.2214,6,False
RGI60-06.00035,2010-01-01_2020-01-01,167000.0,-0.7363,0.4514,6,False
RGI60-06.00036,2000-01-01_2010-01-01,1167000.0,-0.1155,0.3045,6,False
RGI60-06.00036,2000-01-01_2020-01-01,1167000.0,-0.0683,0.1672,6,False
RGI60-06.00036,2010-01-01_2020-01-01,1167000.0,-0.021,0.2884,6,False
RGI60-06.00037,2000-01-01_2010-01-01,128000.0,-0.4389,0.4625,6,False
RGI60-06.00037,2000-01-01_2020-01-01,128000.0,-0.4689,0.2609,6,False
