rgi_id,start_date,end_date,avg_mb_mwe,avg_mb_gt,uncertainty_mwe,uncertainty_gt
RGI60-06.00001,2001,2020,-0.2515,-0.0012331045,2.7332536783951547,0.013401142785171445
RGI60-06.00002,2001,2020,-0.3236,-0.0006138692,3.1436071024430285,0.005963422673334426
RGI60-06.00003,2001,2020,-0.16085000000000002,-0.00012079835000000003,3.333247372790617,0.002503268776965754
RGI60-06.00004,2001,2020,0.11774999999999998,7.889249999999999e-06,4.824425450530103,0.0003232365051855169
RGI60-06.00005,2001,2020,0.09234999999999999,9.031829999999999e-05,3.249760569749275,0.0031782658372147914
RGI60-06.00006,2001,2020,-0.29255,-0.0002668056,3.476771824618038,0.003170815904051651
RGI60-06.00007,2001,2020,-0.4641,-0.0012586392,3.0766237855321448,0.008343803706363177
RGI60-06.00008,2001,2020,-0.1928,-0.0004176048,3.0216834205582126,0.006544966288929088
RGI60-06.00009,2001,2020,-0.24769999999999995,-0.00011096959999999999,3.8030821494316163,0.001703780802945364
RGI60-06.00010,2001,2020,-0.4617,-0.00046170000000000006,3.3387860182908233,0.0033387860182908236
RGI60-06.00011,2001,2020,-0.24879999999999997,-6.41904e-05,4.380574360889421,0.0011301881851094706
RGI60-06.00012,2001,2020,-0.7882,-4.0986400000000005e-05,5.849469634734909,0.0003041724210062153
RGI60-06.00013,2001,2020,-0.21994999999999995,-0.00018211859999999995,3.3689121596521874,0.002789459268192011
RGI60-06.00014,2001,2020,-0.44234999999999997,-0.00034105185,3.4158339515814533,0.0026336079766693006
RGI60-06.00015,2001,2020,-0.42555,-0.00019958294999999999,3.618001883063731,0.00169684288315689
RGI60-06.00016,2001,2020,-0.09730000000000001,-7.4921000000000015e-06,6.408644709792003,0.0004934656426539842
RGI60-06.00017,2001,2020,-0.4725,-0.0015493275,2.871385978995764,0.009415274625127111
RGI60-06.00018,2001,2020,-0.12475,-1.1976e-05,7.749786065994769,0.0007439794623354979
RGI60-06.00019,2001,2020,-0.34604999999999997,-4.117995e-05,4.956251446478701,0.0005897939221309655
RGI60-06.00020,2001,2020,0.013350000000000006,3.0571500000000017e-06,3.90253184907354,0.0008936797934378407
RGI60-06.00021,2001,2020,-0.19434999999999997,-3.206775e-05,4.5067558010665945,0.0007436147071759882
RGI60-06.00022,2001,2020,0.19625000000000004,4.513750000000001e-05,4.623120495792611,0.0010633177140323006
RGI60-06.00023,2001,2020,-0.011550000000000001,-9.933e-07,6.3234704923308245,0.000543818462340451
RGI60-06.00024,2001,2020,0.0007500000000000062,8.47500000000007e-08,4.927666077970811,0.0005568262668107016
RGI60-06.00025,2001,2020,-0.4276,-0.0028255808,2.7096851951150445,0.017905599769320213
RGI60-06.00026,2001,2020,-0.27995,-0.0013370412,2.7920936011384825,0.013335039039037393
RGI60-06.00027,2001,2020,-0.23149999999999996,-0.0011790294999999998,2.823180146466375,0.014378456485953248
RGI60-06.00028,2001,2020,-0.34104999999999996,-0.0003055808,3.361630870718119,0.0030120212601634343
RGI60-06.00029,2001,2020,-0.2964,-0.0002554968,3.297444217524255,0.002842396915505908
RGI60-06.00030,2001,2020,0.11175000000000002,6.9285000000000015e-06,4.630817581103699,0.00028711069002842934
RGI60-06.00031,2001,2020,-0.40595,-0.0001477658,3.8539613575978287,0.0014028419341656096
RGI60-06.00032,2001,2020,-0.3471,-5.067660000000001e-05,4.86379912057717,0.0007101146716042667
RGI60-06.00033,2001,2020,-0.10750000000000001,-2.9777500000000004e-05,4.362592648023357,0.00120843816350247
RGI60-06.00034,2001,2020,-0.0987,-2.75373e-05,3.9200777560657882,0.001093701693942355
RGI60-06.00035,2001,2020,0.057699999999999994,9.6359e-06,4.83359895432581,0.0008072110253724103
RGI60-06.00036,2001,2020,-0.0767,-8.950890000000002e-05,3.2104906094953365,0.003746642541281058
RGI60-06.00037,2001,2020,-0.53075,-6.793600000000001e-05,5.118760592896248,0.0006552013558907197
RGI60-06.00038,2001,2020,-0.03065,-3.09565e-06,4.301622788371541,0.0004344639016255257
RGI60-06.00039,2001,2020,-0.0339,-2.78658e-05,3.3082356040687664,0.002719369666544526
RGI60-06.00040,2001,2020,-0.058299999999999984,-9.561199999999997e-06,4.752412259033479,0.0007793956104814906
RGI60-06.00041,2001,2020,-0.28275,-0.0013328835000000002,2.7105445231821177,0.012777506882280503
RGI60-06.00042,2001,2020,0.05245,5.7695e-06,4.853414040737047,0.0005338755444810753
RGI60-06.00043,2001,2020,-0.03870000000000001,-0.00012229200000000005,3.0164516365096348,0.009531987171370448
RGI60-06.00044,2001,2020,-0.31934999999999997,-0.00027783450000000003,3.4416763609611705,0.002994258434036218
RGI60-06.00045,2001,2020,-0.1383,-2.0745000000000002e-05,3.9492847443941406,0.0005923927116591211
RGI60-06.00046,2001,2020,-0.1528,-0.00014195119999999998,3.3565715862484664,0.0031182550036248256
RGI60-06.00047,2001,2020,-0.09345,-1.2989550000000002e-05,5.444127605405582,0.0007567337371513758
RGI60-06.00048,2001,2020,-0.09285,-0.00016740855000000002,3.1379050943132847,0.005657642885046852
RGI60-06.00049,2001,2020,-0.22105000000000002,-0.00012334590000000003,3.6621568418516697,0.002043483517753232
RGI60-06.00050,2001,2020,-0.33594999999999997,-9.27222e-05,4.2867834233509665,0.0011831522248448667
RGI60-06.00051,2001,2020,0.17295,6.035955e-05,3.996753050562674,0.0013948668146463734
RGI60-06.00052,2001,2020,-0.17065000000000002,-9.880635000000003e-05,3.785630012059427,0.0021918797769824084
RGI60-06.00053,2001,2020,-0.12004999999999999,-2.388995e-05,4.13703900469949,0.0008232707619351986
RGI60-06.00054,2001,2020,0.018000000000000016,2.5740000000000024e-06,5.356986474214013,0.0007660490658126038
RGI60-06.00055,2001,2020,-0.1305,-0.00010022400000000001,3.4722319606638123,0.0026666741457898077
RGI60-06.00056,2001,2020,-0.059499999999999977,-9.400999999999997e-06,5.431432588314495,0.0008581663489536902
RGI60-06.00057,2001,2020,-0.11764999999999999,-6.16486e-05,3.8951906990010357,0.0020410799262765428
RGI60-06.00058,2001,2020,0.02995000000000001,1.922790000000001e-05,3.4065384628717177,0.002186997693163643
RGI60-06.00059,2001,2020,0.0508,1.79832e-05,4.029688180768742,0.001426509615992135
RGI60-06.00060,2001,2020,-0.11855,-4.587885e-05,3.65464508131695,0.0014143476464696597
RGI60-06.00061,2001,2020,-0.08134999999999999,-3.4899149999999996e-05,3.6652742614013762,0.0015724026581411905
RGI60-06.00062,2001,2020,0.3331,1.8986700000000002e-05,4.840734853555876,0.00027592188665268496
RGI60-06.00063,2001,2020,-0.06325,-2.270675e-05,4.323644066815826,0.0015521882199868815
RGI60-06.00064,2001,2020,-0.06495000000000001,-4.975170000000001e-05,3.6536311838528177,0.002798681486831259
RGI60-06.00065,2001,2020,0.29864999999999997,2.86704e-05,5.956773211675825,0.0005718502283208793
RGI60-06.00066,2001,2020,-0.26184999999999997,-0.0002230962,3.4278941633022244,0.0029205658271334953
RGI60-06.00067,2001,2020,-0.10554999999999999,-0.00024012625,3.143645224177434,0.007151792885003663
RGI60-06.00068,2001,2020,-0.04239999999999999,-1.3483199999999998e-05,4.309161807056352,0.00137031345464392
RGI60-06.00069,2001,2020,-0.12655,-0.0001538848,3.336358641885016,0.00405701210853218
RGI60-06.00070,2001,2020,-0.022099999999999988,-8.397999999999995e-06,3.8283910319883327,0.0014547885921555666
RGI60-06.00071,2001,2020,0.018300000000000004,3.938160000000001e-05,3.125999775704467,0.006727151517316014
RGI60-06.00072,2001,2020,-0.04689999999999998,-2.4481799999999993e-05,3.709056425027499,0.0019361274538643545
RGI60-06.00073,2001,2020,0.27605,1.4630650000000002e-05,7.267893047702212,0.00038519833152821727
RGI60-06.00074,2001,2020,-0.10079999999999997,-0.00019121759999999997,3.163561749928635,0.006001276639614621
RGI60-06.00075,2001,2020,-0.10515000000000004,-2.765445000000001e-05,4.203429439309716,0.001105501942538455
RGI60-06.00076,2001,2020,-0.16230000000000003,-3.0837e-05,4.419511771042609,0.0008397072364980958
RGI60-06.00077,2001,2020,-0.1523,-3.2592199999999996e-05,4.274687875174953,0.00091478320528744
RGI60-06.00078,2001,2020,0.0344,2.35296e-05,3.4395063428484898,0.002352622338508367
RGI60-06.00079,2001,2020,-0.034050000000000004,-1.5697050000000002e-05,3.8184058580064386,0.0017602851005409682
RGI60-06.00080,2001,2020,0.06905000000000001,2.085310000000001e-05,4.002271218481729,0.0012086859079814822
RGI60-06.00081,2001,2020,-0.1105,-9.138350000000001e-05,3.4676070928112956,0.0028677110657549416
RGI60-06.00082,2001,2020,-0.04975,-1.9651250000000003e-05,3.6351232811688803,0.001435873696061708
RGI60-06.00083,2001,2020,-0.4466000000000001,-5.4931800000000015e-05,4.8087900378419155,0.0005914811746545556
RGI60-06.00084,2001,2020,-0.07060000000000001,-4.236000000000001e-05,3.4276143965039068,0.002056568637902344
RGI60-06.00085,2001,2020,-0.15725000000000003,-9.073325000000002e-05,3.518892890551662,0.002030401197848309
RGI60-06.00086,2001,2020,-0.48310000000000003,-0.000111113,4.196172480344426,0.0009651196704792181
RGI60-06.00087,2001,2020,0.08259999999999998,3.6756999999999994e-05,3.7468422953286833,0.001667344821421264
RGI60-06.00088,2001,2020,-0.36535000000000006,-6.284020000000002e-05,4.633402292539383,0.000796945194316774
RGI60-06.00089,2001,2020,-0.33745,-0.00058885025,3.186416092799371,0.0055602960819349035
RGI60-06.00090,2001,2020,-0.40155,-0.00012568515000000002,4.033896697876182,0.0012626096664352451
RGI60-06.00091,2001,2020,-0.05205,-6.3500999999999996e-06,6.320291212275314,0.0007710755278975884
RGI60-06.00092,2001,2020,0.5576,0.00016449200000000002,4.181365975739947,0.0012335029628432845
RGI60-06.00093,2001,2020,0.08285000000000002,3.123445000000001e-05,3.9808120171407966,0.0015007661304620803
RGI60-06.00094,2001,2020,-0.11185,-0.0001344437,3.3406028273370105,0.004015404598459087
RGI60-06.00095,2001,2020,-0.11940000000000002,-1.0029600000000003e-05,5.292826251173028,0.0004445974050985344
RGI60-06.00096,2001,2020,-0.08645,-6.50104e-05,3.45962829145734,0.0026016404751759196
RGI60-06.00097,2001,2020,0.054799999999999995,9.151599999999999e-06,4.591729164381317,0.0007668187704516802
RGI60-06.00098,2001,2020,-0.40925,-0.00023818350000000003,3.5736616654624775,0.002079871089299162
RGI60-06.00099,2001,2020,-0.17275000000000001,-3.368625e-05,4.472512685921489,0.0008721399737546906
RGI60-06.00100,2001,2020,-0.3315,-0.000266526,3.4117892397129603,0.00274307854872922
RGI60-06.00101,2001,2020,-0.10364999999999998,-2.6223449999999994e-05,4.452686499088822,0.0011265296842694718
RGI60-06.00102,2001,2020,-0.42780000000000007,-0.00025111860000000003,3.8149459848525593,0.0022393732931084522
